[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_template ] --END-- [ RunTime:0.003886s ]
[ 2013-05-26T10:25:35+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_parse ] --START--
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 42 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 52 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 71 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 91 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 108 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 125 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 136 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: action 938a19e3012cad1115629b8327d25372.php 第 153 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security 938a19e3012cad1115629b8327d25372.php 第 172 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security 938a19e3012cad1115629b8327d25372.php 第 173 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | NOTIC: [8] Undefined variable: security 938a19e3012cad1115629b8327d25372.php 第 174 行.
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ParseTemplate Behavior [ RunTime:0.065405s ]
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_parse ] --END-- [ RunTime:0.065636s ]
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_filter ] --START--
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ContentReplace Behavior [ RunTime:0.001896s ]
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run TokenBuild Behavior [ RunTime:0.001814s ]
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001526s ]
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Run ShowRuntime Behavior [ RunTime:0.002102s ]
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007935s ]
[ 2013-05-26T10:25:36+08:00 ] /rustcms/index.php/admin/Index/menu | INFO: Tag[ view_end ] --START--
